metric,value
benchmark_mode,esp32_bob_local_crypto
workload,frozen canonical p=251 Bob computation
network_mqtt_http_included,False
device_id,esp32-2043a86b2794
mac,20:43:a8:6b:27:94
executions,1000
p,251
q,16
u,194
v,109
n,155
octonion_degree,16
matrix_dimension,32
matrix_degree,32
cpu_mhz,160
heap_start,298660
heap_min_start,298660
results_captured,1000
successful_executions,1000
failed_executions,0
success_rate_percent,100.0
collector_wall_time_s,4935.294371896016
device_successful,1000
device_failed,0
device_benchmark_total_us,4929999996
device_heap_end,298660
device_heap_min_end,224896
mean_protocol_time_s,4.924789994999999
median_protocol_time_s,4.92479
std_protocol_time_s,1.5811388300243314e-07
min_protocol_time_s,4.924785
max_protocol_time_s,4.92479
p95_protocol_time_s,4.92479
mean_matrix_polynomial_s,2.166761015
median_matrix_polynomial_s,2.166761
std_matrix_polynomial_s,4.7434164902134274e-07
min_matrix_polynomial_s,2.166761
max_matrix_polynomial_s,2.166776
p95_matrix_polynomial_s,2.166761
mean_matrix_exchange_s,1.889942
median_matrix_exchange_s,1.889942
std_matrix_exchange_s,0.0
min_matrix_exchange_s,1.889942
max_matrix_exchange_s,1.889942
p95_matrix_exchange_s,1.889942
mean_ob_derivation_s,0.000885
median_ob_derivation_s,0.000885
std_ob_derivation_s,0.0
min_ob_derivation_s,0.000885
max_ob_derivation_s,0.000885
p95_ob_derivation_s,0.000885
mean_octonion_stage_s,0.860017
median_octonion_stage_s,0.860017
std_octonion_stage_s,0.0
min_octonion_stage_s,0.860017
max_octonion_stage_s,0.860017
p95_octonion_stage_s,0.860017
mean_key_recovery_s,0.000368
median_key_recovery_s,0.000368
std_key_recovery_s,0.0
min_key_recovery_s,0.000368
max_key_recovery_s,0.000368
p95_key_recovery_s,0.000368
min_heap_before_bytes,298660
max_heap_before_bytes,298660
mean_heap_before_bytes,298660
min_heap_after_bytes,298660
max_heap_after_bytes,298660
mean_heap_after_bytes,298660
minimum_heap_since_boot_bytes,224896
