metric,value
executions_requested,1000
successful_executions,1000
failed_executions,0
success_rate_percent,100.0
total_benchmark_time_s,148.93797948298743
mean_protocol_time_s,0.128664223
median_protocol_time_s,0.128403
std_protocol_time_s,0.009181327709202781
min_protocol_time_s,0.101773
max_protocol_time_s,0.20147
p95_protocol_time_s,0.14196465
mean_wall_time_s,0.14888625883639905
median_wall_time_s,0.14823894898290746
std_wall_time_s,0.010243270206683081
min_wall_time_s,0.1202681380091235
max_wall_time_s,0.22793702202034183
p95_wall_time_s,0.16408479451201857
