metric,value
benchmark_mode,kms
executions_requested,1000
octonion_modulo_p,251
powers,257
octonion_polynomial_coefficients,16
octonion_component_bits,8
matrix_dimension,32
matrix_polynomial_coefficients,32
matrix_component_bits,4
matrix_modulo_q,16
submatrix_grid_dimension,4
submatrix_dimension,8
python_version,3.11.2
platform,Linux-6.12.87+rpt-rpi-v8-aarch64-with-glibc2.36
machine,aarch64
cpu_model,0
device_model,Raspberry Pi 3 Model B Plus Rev 1.4
cpu_governor,ondemand
timing_scope,Alice/KMS cryptographic computation only; Bob driver and all transport excluded
successful_executions,1000
failed_executions,0
success_rate_percent,100.0
total_benchmark_time_s,2534.1250916649997
mean_alice_total_time_s,1.2795467027600056
median_alice_total_time_s,1.2832492090014966
std_alice_total_time_s,0.06655118385367767
min_alice_total_time_s,1.079426159999457
max_alice_total_time_s,1.445956982000098
p95_alice_total_time_s,1.3837933100003739
mean_alice_matrix_setup_time_s,1.2170982346970054
median_alice_matrix_setup_time_s,1.2194953244998032
std_alice_matrix_setup_time_s,0.0663871587959994
min_alice_matrix_setup_time_s,1.022843517000183
max_alice_matrix_setup_time_s,1.3849824399999306
p95_alice_matrix_setup_time_s,1.3215871300498747
mean_alice_tb_processing_time_s,0.062380126139003095
median_alice_tb_processing_time_s,0.06237440499944569
std_alice_tb_processing_time_s,0.00534868049736643
min_alice_tb_processing_time_s,0.05272188399976585
max_alice_tb_processing_time_s,0.07347523399948841
p95_alice_tb_processing_time_s,0.07103019289957047
mean_alice_rb_processing_time_s,6.834192399719541e-05
median_alice_rb_processing_time_s,6.565100011357572e-05
std_alice_rb_processing_time_s,7.261400273479781e-06
min_alice_rb_processing_time_s,5.927099937252933e-05
max_alice_rb_processing_time_s,0.00011338500007695984
p95_alice_rb_processing_time_s,8.348904975719051e-05
mean_session_wall_time_s,2.533046085856994
median_session_wall_time_s,2.538792840000042
std_session_wall_time_s,0.13224652287927047
min_session_wall_time_s,2.156325992999882
max_session_wall_time_s,2.8636938360000386
p95_session_wall_time_s,2.7397927354003513
min_cpu_temperature_c,61.224
max_cpu_temperature_c,66.604
mean_cpu_temperature_c,63.148964
min_cpu_frequency_mhz,1400.0
max_cpu_frequency_mhz,1400.0
mean_cpu_frequency_mhz,1400.0
