metric,value
benchmark_mode,reference
executions_requested,1000
octonion_modulo_p,251
powers,257
octonion_polynomial_coefficients,16
octonion_component_bits,8
matrix_dimension,32
matrix_polynomial_coefficients,32
matrix_component_bits,4
matrix_modulo_q,16
submatrix_grid_dimension,4
submatrix_dimension,8
python_version,3.11.2
platform,Linux-6.12.87+rpt-rpi-v8-aarch64-with-glibc2.36
machine,aarch64
cpu_model,0
device_model,Raspberry Pi 3 Model B Plus Rev 1.4
cpu_governor,ondemand
successful_executions,1000
failed_executions,0
success_rate_percent,100.0
total_benchmark_time_s,2694.083210922
mean_protocol_time_s,2.539203705
median_protocol_time_s,2.558109
std_protocol_time_s,0.12591817936792649
min_protocol_time_s,1.994934
max_protocol_time_s,2.857059
p95_protocol_time_s,2.7270232
mean_wall_time_s,2.6928771737079993
median_wall_time_s,2.7111067249999223
std_wall_time_s,0.12604190418334735
min_wall_time_s,2.1479968909998206
max_wall_time_s,3.0112110820000453
p95_wall_time_s,2.878703679750072
min_cpu_temperature_c,59.61
max_cpu_temperature_c,64.452
mean_cpu_temperature_c,62.411366
min_cpu_frequency_mhz,1400.0
max_cpu_frequency_mhz,1400.0
mean_cpu_frequency_mhz,1400.0
