metric,value
executions,10000
norm_field_size,251
maximum_uniform_norm_entropy_bits,7.971543553950772
candidate_1_norm_distinct_values,251
candidate_1_norm_zero_count,35
candidate_1_norm_zero_rate,0.0035
candidate_1_norm_mean,123.9783
candidate_1_norm_entropy_bits,7.951484241696801
candidate_1_norm_chi_square_uniform,277.0443999999999
candidate_1_norm_chi_square_df,250
candidate_2_norm_distinct_values,251
candidate_2_norm_zero_count,30
candidate_2_norm_zero_rate,0.003
candidate_2_norm_mean,125.6291
candidate_2_norm_entropy_bits,7.95545656445771
candidate_2_norm_chi_square_uniform,222.728
candidate_2_norm_chi_square_df,250
candidate_3_norm_distinct_values,251
candidate_3_norm_zero_count,29
candidate_3_norm_zero_rate,0.0029
candidate_3_norm_mean,125.4331
candidate_3_norm_entropy_bits,7.954831956671178
candidate_3_norm_chi_square_uniform,231.81419999999977
candidate_3_norm_chi_square_df,250
candidate_4_norm_distinct_values,251
candidate_4_norm_zero_count,40
candidate_4_norm_zero_rate,0.004
candidate_4_norm_mean,125.9028
candidate_4_norm_entropy_bits,7.953683427414495
candidate_4_norm_chi_square_uniform,243.0589999999999
candidate_4_norm_chi_square_df,250
norm_correlation_candidate_1_candidate_2,-0.005581259300349227
equal_norm_count_candidate_1_candidate_2,38
equal_norm_rate_candidate_1_candidate_2,0.0038
identical_candidate_count_1_2,0
identical_candidate_rate_1_2,0.0
norm_correlation_candidate_1_candidate_3,0.0072145602827683565
equal_norm_count_candidate_1_candidate_3,46
equal_norm_rate_candidate_1_candidate_3,0.0046
identical_candidate_count_1_3,0
identical_candidate_rate_1_3,0.0
norm_correlation_candidate_1_candidate_4,0.01243405684399255
equal_norm_count_candidate_1_candidate_4,36
equal_norm_rate_candidate_1_candidate_4,0.0036
identical_candidate_count_1_4,0
identical_candidate_rate_1_4,0.0
norm_correlation_candidate_2_candidate_3,0.002203404784903737
equal_norm_count_candidate_2_candidate_3,36
equal_norm_rate_candidate_2_candidate_3,0.0036
identical_candidate_count_2_3,0
identical_candidate_rate_2_3,0.0
norm_correlation_candidate_2_candidate_4,-0.009128465059121049
equal_norm_count_candidate_2_candidate_4,50
equal_norm_rate_candidate_2_candidate_4,0.005
identical_candidate_count_2_4,0
identical_candidate_rate_2_4,0.0
norm_correlation_candidate_3_candidate_4,0.0020936742008311696
equal_norm_count_candidate_3_candidate_4,50
equal_norm_rate_candidate_3_candidate_4,0.005
identical_candidate_count_3_4,0
identical_candidate_rate_3_4,0.0
all_four_candidates_identical_count,0
all_four_candidates_identical_rate,0.0
all_four_norms_identical_count,0
all_four_norms_identical_rate,0.0
invertibility_pattern_0011_count,1
invertibility_pattern_0011_rate,0.0001
invertibility_pattern_0111_count,34
invertibility_pattern_0111_rate,0.0034
invertibility_pattern_1011_count,29
invertibility_pattern_1011_rate,0.0029
invertibility_pattern_1101_count,29
invertibility_pattern_1101_rate,0.0029
invertibility_pattern_1110_count,40
invertibility_pattern_1110_rate,0.004
invertibility_pattern_1111_count,9867
invertibility_pattern_1111_rate,0.9867
idealized_single_candidate_noninvertibility_probability,0.003984063995960792
idealized_four_candidate_failure_probability,2.519446980752725e-10
