execution,base,private_exponent,gcd_exponent_250,distinct_power_outputs,collision_count,effective_exponent_bits,first_repeat_exponent,unit_power_count,null_power_count,chosen_output_multiplicity,chosen_output_unique,stored_power_validation
1,alice_public_input,217,1,250,5,7.965784284662087,252,1,0,1,True,True
1,alice_shifted_input,217,1,250,5,7.965784284662087,252,1,0,1,True,True
1,bob_public_input,131,1,125,130,6.965784284662087,127,2,0,3,False,True
1,bob_shifted_input,131,1,250,5,7.965784284662087,252,1,0,1,True,True
2,alice_public_input,56,2,255,0,7.994353436858858,,0,0,1,True,True
2,alice_shifted_input,56,2,255,0,7.994353436858858,,0,0,1,True,True
2,bob_public_input,159,1,255,0,7.994353436858858,,0,0,1,True,True
2,bob_shifted_input,159,1,250,5,7.965784284662087,252,1,0,1,True,True
3,alice_public_input,81,1,250,5,7.965784284662087,252,1,0,1,True,True
3,alice_shifted_input,81,1,255,0,7.994353436858858,,0,0,1,True,True
3,bob_public_input,204,2,125,130,6.965784284662087,127,2,0,2,False,True
3,bob_shifted_input,204,2,250,5,7.965784284662087,252,1,0,1,True,True
4,alice_public_input,206,2,255,0,7.994353436858858,,0,0,1,True,True
4,alice_shifted_input,206,2,255,0,7.994353436858858,,0,0,1,True,True
4,bob_public_input,201,1,255,0,7.994353436858858,,0,0,1,True,True
4,bob_shifted_input,201,1,255,0,7.994353436858858,,0,0,1,True,True
5,alice_public_input,244,2,250,5,7.965784284662087,252,1,0,1,True,True
5,alice_shifted_input,244,2,250,5,7.965784284662087,252,1,0,1,True,True
5,bob_public_input,44,2,125,130,6.965784284662087,127,2,0,2,False,True
5,bob_shifted_input,44,2,255,0,7.994353436858858,,0,0,1,True,True
6,alice_public_input,48,2,255,0,7.994353436858858,,0,0,1,True,True
6,alice_shifted_input,48,2,125,130,6.965784284662087,127,2,0,2,False,True
6,bob_public_input,137,1,255,0,7.994353436858858,,0,0,1,True,True
6,bob_shifted_input,137,1,255,0,7.994353436858858,,0,0,1,True,True
7,alice_public_input,116,2,255,0,7.994353436858858,,0,0,1,True,True
7,alice_shifted_input,116,2,255,0,7.994353436858858,,0,0,1,True,True
7,bob_public_input,198,2,255,0,7.994353436858858,,0,0,1,True,True
7,bob_shifted_input,198,2,250,5,7.965784284662087,252,1,0,1,True,True
8,alice_public_input,5,5,125,130,6.965784284662087,127,2,0,3,False,True
8,alice_shifted_input,5,5,250,5,7.965784284662087,252,1,0,2,False,True
8,bob_public_input,254,2,250,5,7.965784284662087,252,1,0,2,False,True
8,bob_shifted_input,254,2,255,0,7.994353436858858,,0,0,1,True,True
9,alice_public_input,157,1,250,5,7.965784284662087,252,1,0,1,True,True
9,alice_shifted_input,157,1,250,5,7.965784284662087,252,1,0,1,True,True
9,bob_public_input,165,5,250,5,7.965784284662087,252,1,0,1,True,True
9,bob_shifted_input,165,5,250,5,7.965784284662087,252,1,0,1,True,True
10,alice_public_input,228,2,255,0,7.994353436858858,,0,0,1,True,True
10,alice_shifted_input,228,2,255,0,7.994353436858858,,0,0,1,True,True
10,bob_public_input,21,1,255,0,7.994353436858858,,0,0,1,True,True
10,bob_shifted_input,21,1,255,0,7.994353436858858,,0,0,1,True,True
11,alice_public_input,130,10,250,5,7.965784284662087,252,1,0,1,True,True
11,alice_shifted_input,130,10,255,0,7.994353436858858,,0,0,1,True,True
11,bob_public_input,237,1,125,130,6.965784284662087,127,2,0,2,False,True
11,bob_shifted_input,237,1,250,5,7.965784284662087,252,1,0,1,True,True
12,alice_public_input,4,2,250,5,7.965784284662087,252,1,0,2,False,True
12,alice_shifted_input,4,2,250,5,7.965784284662087,252,1,0,2,False,True
12,bob_public_input,171,1,250,5,7.965784284662087,252,1,0,1,True,True
12,bob_shifted_input,171,1,125,130,6.965784284662087,127,2,0,2,False,True
13,alice_public_input,134,2,255,0,7.994353436858858,,0,0,1,True,True
13,alice_shifted_input,134,2,250,5,7.965784284662087,252,1,0,1,True,True
13,bob_public_input,117,1,255,0,7.994353436858858,,0,0,1,True,True
13,bob_shifted_input,117,1,250,5,7.965784284662087,252,1,0,1,True,True
14,alice_public_input,15,5,250,5,7.965784284662087,252,1,0,1,True,True
14,alice_shifted_input,15,5,125,130,6.965784284662087,127,2,0,2,False,True
14,bob_public_input,93,1,250,5,7.965784284662087,252,1,0,1,True,True
14,bob_shifted_input,93,1,125,130,6.965784284662087,127,2,0,2,False,True
15,alice_public_input,136,2,255,0,7.994353436858858,,0,0,1,True,True
15,alice_shifted_input,136,2,125,130,6.965784284662087,127,2,0,2,False,True
15,bob_public_input,63,1,255,0,7.994353436858858,,0,0,1,True,True
15,bob_shifted_input,63,1,250,5,7.965784284662087,252,1,0,1,True,True
16,alice_public_input,186,2,255,0,7.994353436858858,,0,0,1,True,True
16,alice_shifted_input,186,2,255,0,7.994353436858858,,0,0,1,True,True
16,bob_public_input,177,1,255,0,7.994353436858858,,0,0,1,True,True
16,bob_shifted_input,177,1,125,130,6.965784284662087,127,2,0,2,False,True
17,alice_public_input,138,2,250,5,7.965784284662087,252,1,0,1,True,True
17,alice_shifted_input,138,2,250,5,7.965784284662087,252,1,0,1,True,True
17,bob_public_input,164,2,125,130,6.965784284662087,127,2,0,2,False,True
17,bob_shifted_input,164,2,255,0,7.994353436858858,,0,0,1,True,True
18,alice_public_input,256,2,250,5,7.965784284662087,252,1,0,2,False,True
18,alice_shifted_input,256,2,125,130,6.965784284662087,127,2,0,3,False,True
18,bob_public_input,243,1,125,130,6.965784284662087,127,2,0,2,False,True
18,bob_shifted_input,243,1,255,0,7.994353436858858,,0,0,1,True,True
19,alice_public_input,187,1,250,5,7.965784284662087,252,1,0,1,True,True
19,alice_shifted_input,187,1,255,0,7.994353436858858,,0,0,1,True,True
19,bob_public_input,36,2,250,5,7.965784284662087,252,1,0,1,True,True
19,bob_shifted_input,36,2,25,230,4.643856189774724,27,0,0,10,False,True
20,alice_public_input,194,2,250,5,7.965784284662087,252,1,0,1,True,True
20,alice_shifted_input,194,2,250,5,7.965784284662087,252,1,0,1,True,True
20,bob_public_input,59,1,125,130,6.965784284662087,127,2,0,2,False,True
20,bob_shifted_input,59,1,250,5,7.965784284662087,252,1,0,1,True,True
21,alice_public_input,248,2,125,130,6.965784284662087,127,2,0,2,False,True
21,alice_shifted_input,248,2,250,5,7.965784284662087,252,1,0,1,True,True
21,bob_public_input,131,1,125,130,6.965784284662087,127,2,0,3,False,True
21,bob_shifted_input,131,1,125,130,6.965784284662087,127,2,0,3,False,True
22,alice_public_input,10,10,250,5,7.965784284662087,252,1,0,1,True,True
22,alice_shifted_input,10,10,50,205,5.643856189774724,52,5,0,5,False,True
22,bob_public_input,59,1,250,5,7.965784284662087,252,1,0,1,True,True
22,bob_shifted_input,59,1,125,130,6.965784284662087,127,2,0,2,False,True
23,alice_public_input,52,2,255,0,7.994353436858858,,0,0,1,True,True
23,alice_shifted_input,52,2,255,0,7.994353436858858,,0,0,1,True,True
23,bob_public_input,169,1,255,0,7.994353436858858,,0,0,1,True,True
23,bob_shifted_input,169,1,255,0,7.994353436858858,,0,0,1,True,True
24,alice_public_input,78,2,255,0,7.994353436858858,,0,0,1,True,True
24,alice_shifted_input,78,2,255,0,7.994353436858858,,0,0,1,True,True
24,bob_public_input,75,25,255,0,7.994353436858858,,0,0,1,True,True
24,bob_shifted_input,75,25,250,5,7.965784284662087,252,1,0,1,True,True
25,alice_public_input,26,2,250,5,7.965784284662087,252,1,0,1,True,True
25,alice_shifted_input,26,2,250,5,7.965784284662087,252,1,0,1,True,True
25,bob_public_input,26,2,125,130,6.965784284662087,127,2,0,2,False,True
25,bob_shifted_input,26,2,255,0,7.994353436858858,,0,0,1,True,True
26,alice_public_input,224,2,255,0,7.994353436858858,,0,0,1,True,True
26,alice_shifted_input,224,2,250,5,7.965784284662087,252,1,0,1,True,True
26,bob_public_input,221,1,255,0,7.994353436858858,,0,0,1,True,True
26,bob_shifted_input,221,1,255,0,7.994353436858858,,0,0,1,True,True
27,alice_public_input,31,1,255,0,7.994353436858858,,0,0,1,True,True
27,alice_shifted_input,31,1,255,0,7.994353436858858,,0,0,1,True,True
27,bob_public_input,121,1,255,0,7.994353436858858,,0,0,1,True,True
27,bob_shifted_input,121,1,255,0,7.994353436858858,,0,0,1,True,True
28,alice_public_input,170,10,250,5,7.965784284662087,252,1,0,1,True,True
28,alice_shifted_input,170,10,250,5,7.965784284662087,252,1,0,1,True,True
28,bob_public_input,72,2,250,5,7.965784284662087,252,1,0,1,True,True
28,bob_shifted_input,72,2,255,0,7.994353436858858,,0,0,1,True,True
29,alice_public_input,92,2,255,0,7.994353436858858,,0,0,1,True,True
29,alice_shifted_input,92,2,255,0,7.994353436858858,,0,0,1,True,True
29,bob_public_input,249,1,255,0,7.994353436858858,,0,0,1,True,True
29,bob_shifted_input,249,1,250,5,7.965784284662087,252,1,0,1,True,True
30,alice_public_input,71,1,255,0,7.994353436858858,,0,0,1,True,True
30,alice_shifted_input,71,1,125,130,6.965784284662087,127,2,0,2,False,True
30,bob_public_input,123,1,255,0,7.994353436858858,,0,0,1,True,True
30,bob_shifted_input,123,1,255,0,7.994353436858858,,0,0,1,True,True
31,alice_public_input,238,2,250,5,7.965784284662087,252,1,0,1,True,True
31,alice_shifted_input,238,2,255,0,7.994353436858858,,0,0,1,True,True
31,bob_public_input,213,1,250,5,7.965784284662087,252,1,0,1,True,True
31,bob_shifted_input,213,1,250,5,7.965784284662087,252,1,0,1,True,True
32,alice_public_input,252,2,250,5,7.965784284662087,252,1,0,2,False,True
32,alice_shifted_input,252,2,255,0,7.994353436858858,,0,0,1,True,True
32,bob_public_input,42,2,250,5,7.965784284662087,252,1,0,1,True,True
32,bob_shifted_input,42,2,255,0,7.994353436858858,,0,0,1,True,True
33,alice_public_input,227,1,250,5,7.965784284662087,252,1,0,1,True,True
33,alice_shifted_input,227,1,255,0,7.994353436858858,,0,0,1,True,True
33,bob_public_input,75,25,25,230,4.643856189774724,27,10,0,10,False,True
33,bob_shifted_input,75,25,125,130,6.965784284662087,127,2,0,2,False,True
