metric,value
executions,10000
p,251
q,16
private_exponent_min,2
private_exponent_max,256
private_exponent_choices,255
private_exponent_nominal_bits,7.994353436858858
octonion_polynomial_space,232830643653869628906250000000000000000
octonion_polynomial_space_bits,127.45254855459339
matrix_polynomial_space,43143988327398919500410556793212890625
matrix_polynomial_space_bits,125.0204990594726
secret_displacement_space,15753961211814252001
secret_displacement_space_bits,63.772348431606176
per_party_nominal_private_configuration_space,40354352270105481943038427043712485815926335752656939348526066169142723083496093750000000000000000
per_party_nominal_private_configuration_bits,324.239749482531
joint_nominal_private_configuration_space,1628473747139767463875004644577643844394010013178163619636690220499156857266696802746742673711286804785085636711926240143086946909889434209617320448160171508789062500000000000000000000000000000000
joint_nominal_private_configuration_bits,648.479498965062
cayley_hamilton_coefficient_space,340282366920938463463374607431768211456
cayley_hamilton_coefficient_space_bits,128.0
maximum_session_key_space,15753961211814252000
maximum_session_key_space_bits,63.772348431606176
empirical_distinct_session_keys,10000
empirical_session_key_collision_samples,0
maximum_empirical_session_key_multiplicity,1
alice_public_input_mean_distinct_power_outputs,232.8161
alice_public_input_median_distinct_power_outputs,250.0
alice_public_input_minimum_distinct_power_outputs,1
alice_public_input_maximum_distinct_power_outputs,255
alice_public_input_mean_effective_exponent_bits,7.799941312314789
alice_public_input_full_255_distinct_count,4988
alice_public_input_full_255_distinct_rate,0.4988
alice_public_input_mean_collision_count,22.1839
alice_public_input_executions_with_repeat,5012
alice_public_input_executions_with_repeat_rate,0.5012
alice_public_input_mean_chosen_output_multiplicity,1.312
alice_public_input_maximum_chosen_output_multiplicity,255
alice_public_input_unit_occurrences_in_allowed_power_range,7427
alice_public_input_null_occurrences_in_allowed_power_range,0
alice_public_input_stored_power_validation_failures,0
alice_shifted_input_mean_distinct_power_outputs,231.8311
alice_shifted_input_median_distinct_power_outputs,250.0
alice_shifted_input_minimum_distinct_power_outputs,1
alice_shifted_input_maximum_distinct_power_outputs,255
alice_shifted_input_mean_effective_exponent_bits,7.792510409075767
alice_shifted_input_full_255_distinct_count,4896
alice_shifted_input_full_255_distinct_rate,0.4896
alice_shifted_input_mean_collision_count,23.1689
alice_shifted_input_executions_with_repeat,5104
alice_shifted_input_executions_with_repeat_rate,0.5104
alice_shifted_input_mean_chosen_output_multiplicity,1.3246
alice_shifted_input_maximum_chosen_output_multiplicity,255
alice_shifted_input_unit_occurrences_in_allowed_power_range,7608
alice_shifted_input_null_occurrences_in_allowed_power_range,0
alice_shifted_input_stored_power_validation_failures,0
bob_public_input_mean_distinct_power_outputs,232.9907
bob_public_input_median_distinct_power_outputs,255.0
bob_public_input_minimum_distinct_power_outputs,5
bob_public_input_maximum_distinct_power_outputs,255
bob_public_input_mean_effective_exponent_bits,7.803254894830155
bob_public_input_full_255_distinct_count,5008
bob_public_input_full_255_distinct_rate,0.5008
bob_public_input_mean_collision_count,22.0093
bob_public_input_executions_with_repeat,4992
bob_public_input_executions_with_repeat_rate,0.4992
bob_public_input_mean_chosen_output_multiplicity,1.2718
bob_public_input_maximum_chosen_output_multiplicity,51
bob_public_input_unit_occurrences_in_allowed_power_range,7321
bob_public_input_null_occurrences_in_allowed_power_range,0
bob_public_input_stored_power_validation_failures,0
bob_shifted_input_mean_distinct_power_outputs,231.4642
bob_shifted_input_median_distinct_power_outputs,250.0
bob_shifted_input_minimum_distinct_power_outputs,3
bob_shifted_input_maximum_distinct_power_outputs,255
bob_shifted_input_mean_effective_exponent_bits,7.787319663396818
bob_shifted_input_full_255_distinct_count,4822
bob_shifted_input_full_255_distinct_rate,0.4822
bob_shifted_input_mean_collision_count,23.5358
bob_shifted_input_executions_with_repeat,5178
bob_shifted_input_executions_with_repeat_rate,0.5178
bob_shifted_input_mean_chosen_output_multiplicity,1.3195
bob_shifted_input_maximum_chosen_output_multiplicity,85
bob_shifted_input_unit_occurrences_in_allowed_power_range,7813
bob_shifted_input_null_occurrences_in_allowed_power_range,0
bob_shifted_input_stored_power_validation_failures,0
