value,count,relative_frequency,expected_uniform_count
0,640076,0.062507421875,640000.0
1,638959,0.06239833984375,640000.0
2,639555,0.06245654296875,640000.0
3,639076,0.062409765625,640000.0
4,641170,0.0626142578125,640000.0
5,639897,0.06248994140625,640000.0
6,639898,0.0624900390625,640000.0
7,639057,0.06240791015625,640000.0
8,639457,0.06244697265625,640000.0
9,642168,0.06271171875,640000.0
10,640188,0.062518359375,640000.0
11,639654,0.0624662109375,640000.0
12,639440,0.0624453125,640000.0
13,639649,0.06246572265625,640000.0
14,640660,0.062564453125,640000.0
15,641096,0.06260703125,640000.0
