candidate,norm,count,relative_frequency,expected_uniform_count
1,0,35,0.0035,39.8406374501992
1,1,37,0.0037,39.8406374501992
1,2,34,0.0034,39.8406374501992
1,3,49,0.0049,39.8406374501992
1,4,48,0.0048,39.8406374501992
1,5,32,0.0032,39.8406374501992
1,6,47,0.0047,39.8406374501992
1,7,45,0.0045,39.8406374501992
1,8,29,0.0029,39.8406374501992
1,9,21,0.0021,39.8406374501992
1,10,34,0.0034,39.8406374501992
1,11,43,0.0043,39.8406374501992
1,12,27,0.0027,39.8406374501992
1,13,33,0.0033,39.8406374501992
1,14,34,0.0034,39.8406374501992
1,15,53,0.0053,39.8406374501992
1,16,36,0.0036,39.8406374501992
1,17,47,0.0047,39.8406374501992
1,18,48,0.0048,39.8406374501992
1,19,49,0.0049,39.8406374501992
1,20,43,0.0043,39.8406374501992
1,21,43,0.0043,39.8406374501992
1,22,51,0.0051,39.8406374501992
1,23,39,0.0039,39.8406374501992
1,24,49,0.0049,39.8406374501992
1,25,33,0.0033,39.8406374501992
1,26,44,0.0044,39.8406374501992
1,27,37,0.0037,39.8406374501992
1,28,41,0.0041,39.8406374501992
1,29,39,0.0039,39.8406374501992
1,30,30,0.003,39.8406374501992
1,31,31,0.0031,39.8406374501992
1,32,39,0.0039,39.8406374501992
1,33,33,0.0033,39.8406374501992
1,34,46,0.0046,39.8406374501992
1,35,38,0.0038,39.8406374501992
1,36,25,0.0025,39.8406374501992
1,37,45,0.0045,39.8406374501992
1,38,44,0.0044,39.8406374501992
1,39,41,0.0041,39.8406374501992
1,40,42,0.0042,39.8406374501992
1,41,42,0.0042,39.8406374501992
1,42,35,0.0035,39.8406374501992
1,43,35,0.0035,39.8406374501992
1,44,38,0.0038,39.8406374501992
1,45,44,0.0044,39.8406374501992
1,46,50,0.005,39.8406374501992
1,47,42,0.0042,39.8406374501992
1,48,37,0.0037,39.8406374501992
1,49,36,0.0036,39.8406374501992
1,50,44,0.0044,39.8406374501992
1,51,45,0.0045,39.8406374501992
1,52,36,0.0036,39.8406374501992
1,53,43,0.0043,39.8406374501992
1,54,37,0.0037,39.8406374501992
1,55,46,0.0046,39.8406374501992
1,56,42,0.0042,39.8406374501992
1,57,50,0.005,39.8406374501992
1,58,50,0.005,39.8406374501992
1,59,39,0.0039,39.8406374501992
1,60,49,0.0049,39.8406374501992
1,61,43,0.0043,39.8406374501992
1,62,46,0.0046,39.8406374501992
1,63,45,0.0045,39.8406374501992
1,64,50,0.005,39.8406374501992
1,65,49,0.0049,39.8406374501992
1,66,40,0.004,39.8406374501992
1,67,42,0.0042,39.8406374501992
1,68,33,0.0033,39.8406374501992
1,69,34,0.0034,39.8406374501992
1,70,45,0.0045,39.8406374501992
1,71,37,0.0037,39.8406374501992
1,72,30,0.003,39.8406374501992
1,73,46,0.0046,39.8406374501992
1,74,42,0.0042,39.8406374501992
1,75,60,0.006,39.8406374501992
1,76,32,0.0032,39.8406374501992
1,77,40,0.004,39.8406374501992
1,78,45,0.0045,39.8406374501992
1,79,37,0.0037,39.8406374501992
1,80,63,0.0063,39.8406374501992
1,81,37,0.0037,39.8406374501992
1,82,36,0.0036,39.8406374501992
1,83,49,0.0049,39.8406374501992
1,84,30,0.003,39.8406374501992
1,85,37,0.0037,39.8406374501992
1,86,48,0.0048,39.8406374501992
1,87,40,0.004,39.8406374501992
1,88,38,0.0038,39.8406374501992
1,89,36,0.0036,39.8406374501992
1,90,51,0.0051,39.8406374501992
1,91,32,0.0032,39.8406374501992
1,92,42,0.0042,39.8406374501992
1,93,43,0.0043,39.8406374501992
