category,variable,component,metric,value
general,,,executions_requested,10000
general,,,successful_executions,10000
general,,,failed_executions,0
general,,,key_agreement_count,10000
general,,,key_agreement_rate,1.0
general,,,recovered_autoconvolution_agreement_count,10000
general,,,recovered_autoconvolution_agreement_rate,1.0
exponent,m,,distinct_values,255
exponent,m,,entropy_bits,7.976557871664106
exponent,n,,distinct_values,255
exponent,n,,entropy_bits,7.9769918018595
exponent,m_mod_250,,distinct_values,250
exponent,m_mod_250,,entropy_bits,7.938902873102451
exponent,n_mod_250,,distinct_values,250
exponent,n_mod_250,,entropy_bits,7.939303166437544
exponent_gcd,m,1,count,4001
exponent_gcd,m,1,rate,0.4001
exponent_gcd,m,2,count,3984
exponent_gcd,m,2,rate,0.3984
exponent_gcd,m,5,count,812
exponent_gcd,m,5,rate,0.0812
exponent_gcd,m,10,count,797
exponent_gcd,m,10,rate,0.0797
exponent_gcd,m,25,count,160
exponent_gcd,m,25,rate,0.016
exponent_gcd,m,50,count,169
exponent_gcd,m,50,rate,0.0169
exponent_gcd,m,125,count,35
exponent_gcd,m,125,rate,0.0035
exponent_gcd,m,250,count,42
exponent_gcd,m,250,rate,0.0042
exponent_gcd,n,1,count,3874
exponent_gcd,n,1,rate,0.3874
exponent_gcd,n,2,count,4081
exponent_gcd,n,2,rate,0.4081
exponent_gcd,n,5,count,861
exponent_gcd,n,5,rate,0.0861
exponent_gcd,n,10,count,795
exponent_gcd,n,10,rate,0.0795
exponent_gcd,n,25,count,156
exponent_gcd,n,25,rate,0.0156
exponent_gcd,n,50,count,162
exponent_gcd,n,50,rate,0.0162
exponent_gcd,n,125,count,38
exponent_gcd,n,125,rate,0.0038
exponent_gcd,n,250,count,33
exponent_gcd,n,250,rate,0.0033
octonion,public_oA,,null_octonion_count,0
octonion,public_oA,,noninvertible_count,35
octonion,public_oA,,noninvertible_rate,0.0035
component,public_oA,0,samples,10000
component,public_oA,0,mean,124.1988
component,public_oA,0,distinct_values,251
component,public_oA,0,entropy_bits,7.95471977797272
component,public_oA,0,maximum_uniform_entropy_bits,7.971543553950772
component,public_oA,0,chi_square_uniform,232.86839999999998
component,public_oA,0,chi_square_df,250
component,public_oA,1,samples,10000
component,public_oA,1,mean,124.1277
component,public_oA,1,distinct_values,251
component,public_oA,1,entropy_bits,7.956467030756448
component,public_oA,1,maximum_uniform_entropy_bits,7.971543553950772
component,public_oA,1,chi_square_uniform,210.73019999999988
component,public_oA,1,chi_square_df,250
component,public_oA,2,samples,10000
component,public_oA,2,mean,124.2106
component,public_oA,2,distinct_values,251
component,public_oA,2,entropy_bits,7.9505941009659775
component,public_oA,2,maximum_uniform_entropy_bits,7.971543553950772
component,public_oA,2,chi_square_uniform,290.44780000000026
component,public_oA,2,chi_square_df,250
component,public_oA,3,samples,10000
component,public_oA,3,mean,123.8942
component,public_oA,3,distinct_values,251
component,public_oA,3,entropy_bits,7.955062731108796
component,public_oA,3,maximum_uniform_entropy_bits,7.971543553950772
component,public_oA,3,chi_square_uniform,227.5472
component,public_oA,3,chi_square_df,250
component,public_oA,4,samples,10000
component,public_oA,4,mean,124.9644
component,public_oA,4,distinct_values,251
component,public_oA,4,entropy_bits,7.952803597052276
component,public_oA,4,maximum_uniform_entropy_bits,7.971543553950772
component,public_oA,4,chi_square_uniform,258.57079999999985
component,public_oA,4,chi_square_df,250
component,public_oA,5,samples,10000
component,public_oA,5,mean,124.9874
component,public_oA,5,distinct_values,251
component,public_oA,5,entropy_bits,7.952423910239068
component,public_oA,5,maximum_uniform_entropy_bits,7.971543553950772
component,public_oA,5,chi_square_uniform,264.34379999999993
component,public_oA,5,chi_square_df,250
component,public_oA,6,samples,10000
component,public_oA,6,mean,125.5459
component,public_oA,6,distinct_values,251
component,public_oA,6,entropy_bits,7.9547634413785975
component,public_oA,6,maximum_uniform_entropy_bits,7.971543553950772
component,public_oA,6,chi_square_uniform,235.62939999999983
component,public_oA,6,chi_square_df,250
component,public_oA,7,samples,10000
component,public_oA,7,mean,125.1873
component,public_oA,7,distinct_values,251
component,public_oA,7,entropy_bits,7.953646786180988
component,public_oA,7,maximum_uniform_entropy_bits,7.971543553950772
component,public_oA,7,chi_square_uniform,244.61519999999982
component,public_oA,7,chi_square_df,250
octonion,public_oA,,mean_component_entropy_bits,7.953810171956858
octonion,public_oA,,minimum_component_entropy_bits,7.9505941009659775
octonion,public_oA,,maximum_component_entropy_bits,7.956467030756448
octonion,public_oA,,mean_component_chi_square,245.59409999999994
norm,public_oA,,distinct_norm_values,251
norm,public_oA,,mean,126.8028
norm,public_oA,,entropy_bits,7.954259984231872
norm,public_oA,,chi_square_uniform,243.10920000000007
norm,public_oA,,chi_square_df,250
quadratic_character,public_oA,-1,count,5018
quadratic_character,public_oA,-1,rate,0.5018
quadratic_character,public_oA,0,count,35
quadratic_character,public_oA,0,rate,0.0035
quadratic_character,public_oA,1,count,4947
quadratic_character,public_oA,1,rate,0.4947
correlation,public_oA,0-1,pearson_correlation,0.011856228583025994
correlation,public_oA,0-2,pearson_correlation,0.0039713488651063784
correlation,public_oA,0-3,pearson_correlation,0.003728596496394658
correlation,public_oA,0-4,pearson_correlation,-0.016075470268409338
correlation,public_oA,0-5,pearson_correlation,-0.015329336357471815
correlation,public_oA,0-6,pearson_correlation,-0.022567755788988113
correlation,public_oA,0-7,pearson_correlation,-0.011824008673397569
correlation,public_oA,1-2,pearson_correlation,-0.019039751536047134
correlation,public_oA,1-3,pearson_correlation,-0.00993681945983951
correlation,public_oA,1-4,pearson_correlation,-0.0120710904207887
correlation,public_oA,1-5,pearson_correlation,-0.020018891063983132
correlation,public_oA,1-6,pearson_correlation,0.006230577896028431
correlation,public_oA,1-7,pearson_correlation,-0.002812565877018639
correlation,public_oA,2-3,pearson_correlation,0.0025230419543009444
correlation,public_oA,2-4,pearson_correlation,0.005375058013786557
correlation,public_oA,2-5,pearson_correlation,0.012644152428882671
correlation,public_oA,2-6,pearson_correlation,-0.005363858019625892
correlation,public_oA,2-7,pearson_correlation,0.002690854305452165
correlation,public_oA,3-4,pearson_correlation,-0.009198018514208026
correlation,public_oA,3-5,pearson_correlation,-0.001574218716376791
correlation,public_oA,3-6,pearson_correlation,0.010426046398727032
correlation,public_oA,3-7,pearson_correlation,-0.0009397755804563267
correlation,public_oA,4-5,pearson_correlation,0.006083072607666394
correlation,public_oA,4-6,pearson_correlation,-0.013413542536133043
correlation,public_oA,4-7,pearson_correlation,-0.018080108710323634
correlation,public_oA,5-6,pearson_correlation,0.008496036969374565
correlation,public_oA,5-7,pearson_correlation,-0.016693691433778267
correlation,public_oA,6-7,pearson_correlation,-0.003104951521465906
octonion,public_oA,,maximum_absolute_pairwise_correlation,0.022567755788988113
octonion,public_oA,,maximum_correlation_pair,a0-a6
octonion,public_oA,,maximum_correlation_signed_value,-0.022567755788988113
octonion,shared_oB,,null_octonion_count,0
octonion,shared_oB,,noninvertible_count,0
