variable,gcd_exponent_250,samples,component,distinct_values,entropy_bits,chi_square_uniform,chi_square_df
alice_power_public_input,1,4001,0,251,7.922978485402336,288.0824793801549,250
alice_power_public_input,1,4001,1,251,7.919070672452925,313.05073731567114,250
alice_power_public_input,1,4001,2,251,7.907054893478002,390.84128967758073,250
alice_power_public_input,1,4001,3,251,7.9248186321141105,287.0787303174208,250
alice_power_public_input,1,4001,4,251,7.918713675194019,305.1462134466386,250
alice_power_public_input,1,4001,5,251,7.921062208449847,301.13121719570114,250
alice_power_public_input,1,4001,6,251,7.91635829448172,332.12196950762285,250
alice_power_public_input,1,4001,7,251,7.911907692311837,363.8655336165958,250
alice_power_public_input,2,3984,0,251,7.918848369625081,294.4663654618472,250
alice_power_public_input,2,3984,1,251,7.868090022670664,1058.9327309236946,250
alice_power_public_input,2,3984,2,251,7.867352471414661,1036.6300200803203,250
alice_power_public_input,2,3984,3,251,7.868799609691916,1092.5758032128492,250
alice_power_public_input,2,3984,4,251,7.8754444837175885,953.8453815261049,250
alice_power_public_input,2,3984,5,251,7.87621907225314,942.1270080321286,250
alice_power_public_input,2,3984,6,251,7.8725836724664475,1021.2575301204824,250
alice_power_public_input,2,3984,7,251,7.869975505714073,987.9924698795194,250
alice_power_public_input,5,812,0,241,7.735882419275698,241.45812807881825,250
alice_power_public_input,5,812,1,244,7.749510159646713,247.64039408867063,250
alice_power_public_input,5,812,2,245,7.744544611787099,253.82266009852282,250
alice_power_public_input,5,812,3,237,7.6857557022241085,303.8990147783255,250
alice_power_public_input,5,812,4,242,7.715459986627327,274.224137931035,250
alice_power_public_input,5,812,5,241,7.721787105086089,263.09605911330084,250
alice_power_public_input,5,812,6,247,7.788689322233681,198.80049261083795,250
alice_power_public_input,5,812,7,242,7.728290507998345,274.22413793103516,250
alice_power_public_input,10,797,0,230,7.644097391039491,329.5081555834381,250
alice_power_public_input,10,797,1,242,7.6588490352509275,533.5834378920957,250
alice_power_public_input,10,797,2,240,7.607759260135915,586.4918444165621,250
alice_power_public_input,10,797,3,238,7.618369840089277,565.0765370138013,250
alice_power_public_input,10,797,4,240,7.622086777335715,570.1154328732752,250
alice_power_public_input,10,797,5,240,7.612078200943604,602.868255959849,250
alice_power_public_input,10,797,6,239,7.611588453160567,583.3425345043916,250
alice_power_public_input,10,797,7,237,7.609455688772911,554.9987452948559,250
alice_power_public_input,25,160,0,93,6.228804945791703,589.8625000000013,250
alice_power_public_input,25,160,1,119,6.767995654368047,251.01249999999968,250
alice_power_public_input,25,160,2,113,6.653217354514295,301.2124999999998,250
alice_power_public_input,25,160,3,109,6.61162346681396,304.3500000000002,250
alice_power_public_input,25,160,4,113,6.633559560591005,313.7625000000006,250
alice_power_public_input,25,160,5,120,6.775777607479525,251.0124999999996,250
alice_power_public_input,25,160,6,115,6.698337860444755,276.11249999999995,250
alice_power_public_input,25,160,7,119,6.765555907333277,251.01249999999962,250
alice_power_public_input,50,169,0,85,5.936800316071497,821.6331360946746,250
alice_power_public_input,50,169,1,120,6.6153475575711544,542.4142011834289,250
alice_power_public_input,50,169,2,113,6.4932813416948765,592.911242603548,250
alice_power_public_input,50,169,3,117,6.532411502457328,613.7041420118335,250
alice_power_public_input,50,169,4,113,6.456938795343936,646.3786982248515,250
alice_power_public_input,50,169,5,111,6.428436462666169,687.9644970414217,250
alice_power_public_input,50,169,6,115,6.5146401610702425,586.9704142011822,250
alice_power_public_input,50,169,7,114,6.514775703691967,610.7337278106498,250
alice_power_public_input,125,35,0,22,4.043568731230679,746.685714285713,250
alice_power_public_input,125,35,1,27,4.45352631824773,545.885714285713,250
alice_power_public_input,125,35,2,28,4.571860873964194,459.82857142857006,250
alice_power_public_input,125,35,3,29,4.629003731107051,445.4857142857129,250
alice_power_public_input,125,35,4,29,4.629003731107051,445.4857142857129,250
alice_power_public_input,125,35,5,28,4.571860873964194,459.82857142857006,250
alice_power_public_input,125,35,6,30,4.686146588249909,431.14285714285575,250
alice_power_public_input,125,35,7,28,4.5106691753905865,531.5428571428558,250
alice_power_public_input,250,42,0,18,2.7247198033190525,3519.809523809543,250
alice_power_public_input,250,42,1,19,2.7723388509381004,3507.8571428571618,250
alice_power_public_input,250,42,2,19,2.7723388509381004,3507.8571428571618,250
alice_power_public_input,250,42,3,18,2.724719803319053,3519.809523809543,250
alice_power_public_input,250,42,4,19,2.7723388509381004,3507.8571428571618,250
alice_power_public_input,250,42,5,17,2.677100755700005,3531.761904761924,250
alice_power_public_input,250,42,6,17,2.677100755700005,3531.761904761924,250
alice_power_public_input,250,42,7,18,2.628117309817615,3794.7142857143044,250
alice_power_shifted_input,1,4001,0,251,7.919892128136098,294.23044238940264,250
alice_power_shifted_input,1,4001,1,251,7.916339897417489,364.8692826793302,250
alice_power_shifted_input,1,4001,2,251,7.917215808730343,356.71382154461395,250
alice_power_shifted_input,1,4001,3,251,7.911599331870837,373.65208697825557,250
alice_power_shifted_input,1,4001,4,251,7.914460646979517,355.08272931767044,250
alice_power_shifted_input,1,4001,5,251,7.908533908887228,384.4423894026494,250
alice_power_shifted_input,1,4001,6,251,7.907985933534426,385.9480129967512,250
alice_power_shifted_input,1,4001,7,251,7.908731943105455,393.9780054986249,250
alice_power_shifted_input,2,3984,0,251,7.922118176610519,276.57379518072287,250
alice_power_shifted_input,2,3984,1,251,7.859078900213183,1179.3925702811193,250
alice_power_shifted_input,2,3984,2,251,7.860159939371758,1183.8027108433675,250
alice_power_shifted_input,2,3984,3,251,7.863833772843621,1162.760040160637,250
alice_power_shifted_input,2,3984,4,251,7.856526296452604,1277.9277108433662,250
alice_power_shifted_input,2,3984,5,251,7.863090605616096,1149.277610441763,250
alice_power_shifted_input,2,3984,6,251,7.8579472140443025,1307.412650602401,250
alice_power_shifted_input,2,3984,7,251,7.860120468991481,1177.1244979919625,250
alice_power_shifted_input,5,812,0,241,7.712320869325721,282.26108374384273,250
alice_power_shifted_input,5,812,1,242,7.704325831958272,324.91871921182286,250
alice_power_shifted_input,5,812,2,242,7.720174711130202,299.57142857142907,250
alice_power_shifted_input,5,812,3,243,7.760012299773557,232.18472906403994,250
alice_power_shifted_input,5,812,4,240,7.696402979956662,301.42610837438446,250
alice_power_shifted_input,5,812,5,244,7.728541409444798,290.91625615763604,250
alice_power_shifted_input,5,812,6,241,7.703391369169356,321.82758620689685,250
alice_power_shifted_input,5,812,7,239,7.699874984124796,300.1896551724142,250
alice_power_shifted_input,10,797,0,231,7.624874787694474,355.9623588456717,250
alice_power_shifted_input,10,797,1,234,7.610801651482101,544.2910915934752,250
alice_power_shifted_input,10,797,2,237,7.631932227014227,514.0577164366373,250
alice_power_shifted_input,10,797,3,238,7.607409663625538,544.2910915934757,250
alice_power_shifted_input,10,797,4,238,7.642683281103892,514.0577164366377,250
alice_power_shifted_input,10,797,5,238,7.640919109988445,522.8757841907154,250
alice_power_shifted_input,10,797,6,234,7.5771355083056635,582.7126725219571,250
alice_power_shifted_input,10,797,7,238,7.615992824722346,602.2383939774154,250
alice_power_shifted_input,25,160,0,87,6.142389676691311,545.9375000000015,250
alice_power_shifted_input,25,160,1,115,6.662247626002147,332.5875000000013,250
alice_power_shifted_input,25,160,2,115,6.610375148437587,385.9250000000013,250
alice_power_shifted_input,25,160,3,117,6.69668371977919,320.03750000000116,250
alice_power_shifted_input,25,160,4,105,6.476065842886398,436.12500000000233,250
alice_power_shifted_input,25,160,5,117,6.687247626002147,326.3125000000006,250
alice_power_shifted_input,25,160,6,113,6.602811532225103,363.96250000000157,250
alice_power_shifted_input,25,160,7,111,6.578217354514295,382.787500000002,250
alice_power_shifted_input,50,169,0,74,5.562463823831232,1175.1124260355023,250
alice_power_shifted_input,50,169,1,109,6.331246354084934,860.2485207100628,250
alice_power_shifted_input,50,169,2,110,6.353348942803926,848.3668639053291,250
alice_power_shifted_input,50,169,3,110,6.320576181830749,961.2426035502996,250
alice_power_shifted_input,50,169,4,111,6.343856829045487,904.8047337278142,250
alice_power_shifted_input,50,169,5,113,6.390417951718069,839.4556213017785,250
alice_power_shifted_input,50,169,6,107,6.286809815597793,881.041420118347,250
alice_power_shifted_input,50,169,7,110,6.2777224094885415,1041.443786982251,250
alice_power_shifted_input,125,35,0,22,3.988821675205146,775.3714285714273,250
alice_power_shifted_input,125,35,1,24,4.142730873716941,775.3714285714271,250
alice_power_shifted_input,125,35,2,25,4.199873730859799,761.02857142857,250
alice_power_shifted_input,125,35,3,26,4.257016588002656,746.6857142857128,250
alice_power_shifted_input,125,35,4,25,4.199873730859799,761.02857142857,250
alice_power_shifted_input,125,35,5,27,4.3141594451455125,732.3428571428557,250
alice_power_shifted_input,125,35,6,25,4.123017846977147,875.7714285714271,250
alice_power_shifted_input,125,35,7,25,4.199873730859799,761.02857142857,250
alice_power_shifted_input,250,42,0,27,3.949380305299529,1475.9523809523992,250
alice_power_shifted_input,250,42,1,26,3.9017612576804814,1487.9047619047803,250
alice_power_shifted_input,250,42,2,26,3.9017612576804814,1487.9047619047803,250
alice_power_shifted_input,250,42,3,27,3.949380305299529,1475.9523809523992,250
alice_power_shifted_input,250,42,4,25,3.8541422100614335,1499.8571428571615,250
alice_power_shifted_input,250,42,5,27,3.868507898969238,1643.2857142857324,250
