metric,value
executions_requested,10000
executions_completed,10000
successful_executions,10000
failed_executions,0
success_rate,1.0
matrix_agreement_count,10000
matrix_agreement_rate,1.0
key_agreement_count,10000
key_agreement_rate,1.0
total_analysis_time_s,1271.6264549350017
matrix_total_entries,10240000
matrix_empirical_entropy_bits,3.999998718918887
matrix_maximum_uniform_entropy_bits,4.0
matrix_chi_square_uniform,18.194015625
matrix_chi_square_degrees_of_freedom,15
candidate_1_noninvertible_count,35
candidate_1_noninvertible_rate,0.0035
candidate_2_noninvertible_count,30
candidate_2_noninvertible_rate,0.003
candidate_3_noninvertible_count,29
candidate_3_noninvertible_rate,0.0029
candidate_4_noninvertible_count,40
candidate_4_noninvertible_rate,0.004
all_four_candidates_noninvertible_count,0
all_four_candidates_noninvertible_rate,0.0
idealized_single_candidate_noninvertibility_probability,0.003984063995960792
idealized_four_candidate_failure_probability,2.519446980752725e-10
selected_configuration_1_count,9965
selected_configuration_1_rate,0.9965
selected_configuration_2_count,34
selected_configuration_2_rate,0.0034
selected_configuration_3_count,1
selected_configuration_3_rate,0.0001
selected_configuration_4_count,0
selected_configuration_4_rate,0.0
selected_oB_a0_samples,10000
selected_oB_a0_mean,124.6854
selected_oB_a0_empirical_entropy_bits,7.953069261698072
selected_oB_a0_maximum_uniform_entropy_bits,7.971543553950772
selected_oB_a0_chi_square_uniform,251.54279999999997
selected_oB_a0_chi_square_degrees_of_freedom,250
selected_oB_a1_samples,10000
selected_oB_a1_mean,125.0204
selected_oB_a1_empirical_entropy_bits,7.955612125674708
selected_oB_a1_maximum_uniform_entropy_bits,7.971543553950772
selected_oB_a1_chi_square_uniform,221.5734000000001
selected_oB_a1_chi_square_degrees_of_freedom,250
selected_oB_a2_samples,10000
selected_oB_a2_mean,125.3892
selected_oB_a2_empirical_entropy_bits,7.952875427449374
selected_oB_a2_maximum_uniform_entropy_bits,7.971543553950772
selected_oB_a2_chi_square_uniform,258.1692
selected_oB_a2_chi_square_degrees_of_freedom,250
selected_oB_a3_samples,10000
selected_oB_a3_mean,124.2208
selected_oB_a3_empirical_entropy_bits,7.954832278645855
selected_oB_a3_maximum_uniform_entropy_bits,7.971543553950772
selected_oB_a3_chi_square_uniform,229.05319999999986
selected_oB_a3_chi_square_degrees_of_freedom,250
selected_oB_a4_samples,10000
selected_oB_a4_mean,123.8419
selected_oB_a4_empirical_entropy_bits,7.954658580698836
selected_oB_a4_maximum_uniform_entropy_bits,7.971543553950772
selected_oB_a4_chi_square_uniform,230.258
selected_oB_a4_chi_square_degrees_of_freedom,250
selected_oB_a5_samples,10000
selected_oB_a5_mean,125.2558
selected_oB_a5_empirical_entropy_bits,7.951699486793602
selected_oB_a5_maximum_uniform_entropy_bits,7.971543553950772
selected_oB_a5_chi_square_uniform,272.4762
selected_oB_a5_chi_square_degrees_of_freedom,250
selected_oB_a6_samples,10000
selected_oB_a6_mean,125.3023
selected_oB_a6_empirical_entropy_bits,7.953356993192539
selected_oB_a6_maximum_uniform_entropy_bits,7.971543553950772
selected_oB_a6_chi_square_uniform,252.3460000000001
selected_oB_a6_chi_square_degrees_of_freedom,250
selected_oB_a7_samples,10000
selected_oB_a7_mean,124.5211
selected_oB_a7_empirical_entropy_bits,7.9540933473343145
selected_oB_a7_maximum_uniform_entropy_bits,7.971543553950772
selected_oB_a7_chi_square_uniform,243.81200000000007
selected_oB_a7_chi_square_degrees_of_freedom,250
selected_oB_correlation_a0_a0,1.0
selected_oB_correlation_a0_a1,-0.012302990504160076
selected_oB_correlation_a0_a2,0.0020453793987802666
selected_oB_correlation_a0_a3,-0.002440399199233035
selected_oB_correlation_a0_a4,0.006385330986779772
selected_oB_correlation_a0_a5,-0.0003619011793408784
selected_oB_correlation_a0_a6,0.005981076616401822
selected_oB_correlation_a0_a7,-0.008564962706054943
selected_oB_correlation_a1_a1,1.0
selected_oB_correlation_a1_a2,0.009673400121141451
selected_oB_correlation_a1_a3,0.000846426031973964
selected_oB_correlation_a1_a4,-0.0020650041720444027
selected_oB_correlation_a1_a5,0.004894952941095107
selected_oB_correlation_a1_a6,-0.01738646519228116
selected_oB_correlation_a1_a7,-0.0013529365339049956
selected_oB_correlation_a2_a2,1.0
selected_oB_correlation_a2_a3,0.011864440244096401
selected_oB_correlation_a2_a4,0.009115542976523928
selected_oB_correlation_a2_a5,0.018552351838941685
selected_oB_correlation_a2_a6,-0.001817836516602735
selected_oB_correlation_a2_a7,0.0018926184941929723
selected_oB_correlation_a3_a3,1.0
selected_oB_correlation_a3_a4,0.004219279168607443
selected_oB_correlation_a3_a5,0.005775686134735352
selected_oB_correlation_a3_a6,-0.003604623287013314
selected_oB_correlation_a3_a7,-0.007511990022656749
selected_oB_correlation_a4_a4,1.0
selected_oB_correlation_a4_a5,-0.019437124673567945
selected_oB_correlation_a4_a6,0.02732932523317144
selected_oB_correlation_a4_a7,-0.00015823449868961588
selected_oB_correlation_a5_a5,1.0
selected_oB_correlation_a5_a6,0.006847107478036855
selected_oB_correlation_a5_a7,0.0045639642612432555
selected_oB_correlation_a6_a6,1.0
selected_oB_correlation_a6_a7,-0.013220841382605744
selected_oB_correlation_a7_a7,1.0
